react_id,direction,sample_id,Master.Protein.Accessions,bnum,bio_rep,fmol_per_gDW_calib_avg,flux_units,mfa_sampling_ave,mfa_sampling_var,mfa_sampling_lb,mfa_sampling_ub,kapp_per_s
UAGDP,fwd,tpi1,glmU,b3730,B1,2056764.45183502,mmol*gDW-1*hr-1,0.034384584,2.66E-07,0.0336883,0.035543074,4.64383431209723
UAGDP,fwd,sdh2,glmU,b3730,B2,4081262.41075987,mmol*gDW-1*hr-1,0.0650514,8.62E-08,0.06460747,0.065605095,4.42751078335318
UAGDP,fwd,pts1,glmU,b3730,B1,5862060.81157629,mmol*gDW-1*hr-1,0.03924382,9.64E-07,0.037793552,0.041135373,1.85959536441244
UAGDP,fwd,pgi4,glmU,b3730,B2,4168994.39121066,mmol*gDW-1*hr-1,0.050647986,8.60E-07,0.049493386,0.052820008,3.37464714024584
UAGDP,fwd,pts2,glmU,b3730,B1,8901541.74857055,mmol*gDW-1*hr-1,0.05509188,1.12E-06,0.053706149,0.057445504,1.71917409728011
UAGDP,fwd,pgi7,glmU,b3730,B2,3404003.53552307,mmol*gDW-1*hr-1,0.047508427,3.13E-08,0.047243215,0.047842774,3.87684241219507
UAGDP,fwd,tpi3,glmU,b3730,B2,2367937.89423516,mmol*gDW-1*hr-1,0.032811905,7.38E-07,0.031553295,0.034487584,3.84909506188695
UAGDP,fwd,pgi3,glmU,b3730,B1,2937879.81946739,mmol*gDW-1*hr-1,0.045084653,4.56E-06,0.040921438,0.048759511,4.26277298316873
UAGDP,fwd,pts4,glmU,b3730,B2,7471012.95401394,mmol*gDW-1*hr-1,0.059495627,9.58E-07,0.058354459,0.062001996,2.21209133985993
UAGDP,fwd,tpi4,glmU,b3730,B1,2119909.8047741,mmol*gDW-1*hr-1,0.036107979,2.39E-07,0.035397325,0.037035114,4.73133061797196
UAGDP,fwd,pgi2,glmU,b3730,B1,2956894.77292023,mmol*gDW-1*hr-1,0.04249862,8.43E-07,0.041426062,0.044857017,3.99242216203839
UAGDP,fwd,pts3,glmU,b3730,B2,6169628.29648938,mmol*gDW-1*hr-1,0.041953988,2.43E-06,0.039794905,0.045082281,1.88891210223909
UAGDP,fwd,pts1,glmU,b3730,B2,5953679.50149592,mmol*gDW-1*hr-1,0.03924382,9.64E-07,0.037793552,0.041135373,1.83097882718949
UAGDP,fwd,pgi2,glmU,b3730,B2,3129077.24557796,mmol*gDW-1*hr-1,0.04249862,8.43E-07,0.041426062,0.044857017,3.77273275656758
UAGDP,fwd,pgi3,glmU,b3730,B2,3611026.90524047,mmol*gDW-1*hr-1,0.045084653,4.56E-06,0.040921438,0.048759511,3.46813110255357
UAGDP,fwd,pgi6,glmU,b3730,B1,1927774.42851926,mmol*gDW-1*hr-1,0.049695602,4.47E-07,0.048437138,0.050841388,7.16076200859875
UAGDP,fwd,WT2,glmU,b3730,B2,4322280.51268274,mmol*gDW-1*hr-1,0.068276118,5.93E-07,0.067336402,0.070142437,4.38786614558754
UAGDP,fwd,WT2,glmU,b3730,B1,4544965.67645115,mmol*gDW-1*hr-1,0.068276118,5.93E-07,0.067336402,0.070142437,4.17287823131423
UAGDP,fwd,pts3,glmU,b3730,B1,7012694.60188301,mmol*gDW-1*hr-1,0.041953988,2.43E-06,0.039794905,0.045082281,1.66182704611524
UAGPT3,fwd,tpi4,murG,b0090,B1,1427849.04598919,mmol*gDW-1*hr-1,0.013935145,3.55E-08,0.013660883,0.014292954,2.71098238429639
UAGPT3,fwd,pgi1,murG,b0090,B2,1464600.34910312,mmol*gDW-1*hr-1,0.018591137,2.51E-08,0.01840393,0.018990646,3.52601631249414
UAGPT3,fwd,tpi2,murG,b0090,B1,1003159.12480527,mmol*gDW-1*hr-1,0.013393049,1.51E-10,0.013372848,0.01341308,3.70857553592113
UAGPT3,fwd,pgi7,murG,b0090,B1,1282125.17442507,mmol*gDW-1*hr-1,0.018334918,4.67E-09,0.018232565,0.018463952,3.97233661686861
UAGPT3,fwd,pts4,murG,b0090,B2,1159279.23699524,mmol*gDW-1*hr-1,0.022961136,1.43E-07,0.022520725,0.023928418,5.50177483542693
UAGPT3,fwd,sdh3,murG,b0090,B2,1375146.59117919,mmol*gDW-1*hr-1,0.025074679,9.80E-08,0.024689482,0.025832927,5.06505172305918
UAGPT3,fwd,pts2,murG,b0090,B1,1975747.8391308,mmol*gDW-1*hr-1,0.021261598,1.67E-07,0.020726804,0.022169932,2.98924757880171
UAGPT3,fwd,WT2,murG,b0090,B1,1471246.13964767,mmol*gDW-1*hr-1,0.026349789,8.83E-08,0.025987125,0.027070057,4.97495669561189
UAGPT3,fwd,pts1,murG,b0090,B1,2547774.8674631,mmol*gDW-1*hr-1,0.01514536,1.44E-07,0.014585658,0.015875366,1.65126224383928
UAGPT3,fwd,tpi3,murG,b0090,B2,1151705.45750007,mmol*gDW-1*hr-1,0.012663092,1.10E-07,0.012177357,0.013309786,3.0541884929423
UAGPT3,fwd,pgi4,murG,b0090,B1,1565566.49346341,mmol*gDW-1*hr-1,0.019546567,1.28E-07,0.019100973,0.020384815,3.46813882841403
UAGPT3,fwd,tpi3,murG,b0090,B1,1091070.58580139,mmol*gDW-1*hr-1,0.012663092,1.10E-07,0.012177357,0.013309786,3.22392116635784
UAGPT3,fwd,pgi3,murG,b0090,B2,1627468.71482468,mmol*gDW-1*hr-1,0.017399509,6.79E-07,0.015792801,0.018817746,2.96976335115916
UAGPT3,fwd,pgi5,murG,b0090,B2,1866676.43620324,mmol*gDW-1*hr-1,0.017465812,1.14E-07,0.016937348,0.0181504,2.59906556398841
UAGPT3,fwd,pgi3,murG,b0090,B1,1688629.00619294,mmol*gDW-1*hr-1,0.017399509,6.79E-07,0.015792801,0.018817746,2.8622017783178
UAGPT3,fwd,pgi2,murG,b0090,B1,1286514.55356652,mmol*gDW-1*hr-1,0.016401484,1.25E-07,0.015987552,0.01731166,3.54132626416666
UAGPT3,fwd,pgi4,murG,b0090,B2,1954500.32429143,mmol*gDW-1*hr-1,0.019546567,1.28E-07,0.019100973,0.020384815,2.77800002228849
UAGPT3,fwd,sdh3,murG,b0090,B1,1275270.76479725,mmol*gDW-1*hr-1,0.025074679,9.80E-08,0.024689482,0.025832927,5.46173314983697
UAGPT3,fwd,pgi7,murG,b0090,B2,1375563.14296942,mmol*gDW-1*hr-1,0.018334918,4.67E-09,0.018232565,0.018463952,3.70250744490251
UAGPT3,fwd,pgi5,murG,b0090,B1,1238585.84477395,mmol*gDW-1*hr-1,0.017465812,1.14E-07,0.016937348,0.0181504,3.91705949564594
UAGPT3,fwd,pts2,murG,b0090,B2,1506150.89840131,mmol*gDW-1*hr-1,0.021261598,1.67E-07,0.020726804,0.022169932,3.92125347514203
UAGPT3,fwd,pts4,murG,b0090,B1,1698381.69199828,mmol*gDW-1*hr-1,0.022961136,1.43E-07,0.022520725,0.023928418,3.7553945402161
UAGPT3,fwd,sdh1,murG,b0090,B2,1496544.99803094,mmol*gDW-1*hr-1,0.024167774,1.69E-08,0.023957256,0.02442237,4.48584610846212
UAGPT3,fwd,pts1,murG,b0090,B2,1845273.40624318,mmol*gDW-1*hr-1,0.01514536,1.44E-07,0.014585658,0.015875366,2.27990303778865
UAGPT3,fwd,pgi2,murG,b0090,B2,1748539.17476216,mmol*gDW-1*hr-1,0.016401484,1.25E-07,0.015987552,0.01731166,2.6055851899329
UAGPT3,fwd,WT1,murG,b0090,B1,1354107.04011141,mmol*gDW-1*hr-1,0.024954236,4.10E-08,0.024657487,0.025389621,5.11904304230772
UAGPT3,fwd,tpi2,murG,b0090,B2,1112356.76141106,mmol*gDW-1*hr-1,0.013393049,1.51E-10,0.013372848,0.01341308,3.34451276600285
UAGPT3,fwd,pts3,murG,b0090,B2,2702406.89462194,mmol*gDW-1*hr-1,0.016191294,3.62E-07,0.01535804,0.017398596,1.66428737123832
UAGPT3,fwd,pts3,murG,b0090,B1,2886886.2383484,mmol*gDW-1*hr-1,0.016191294,3.62E-07,0.01535804,0.017398596,1.5579351922228
UAGPT3,fwd,pgi6,murG,b0090,B2,1318560.08441157,mmol*gDW-1*hr-1,0.019179014,6.66E-08,0.018693335,0.019621207,4.04039524013529
UAGPT3,fwd,WT2,murG,b0090,B2,1590861.26980498,mmol*gDW-1*hr-1,0.026349789,8.83E-08,0.025987125,0.027070057,4.60089510773658
UAGPT3,fwd,WT1,murG,b0090,B2,1223357.34001941,mmol*gDW-1*hr-1,0.024954236,4.10E-08,0.024657487,0.025389621,5.66615492911683
