,KM [mM],RIDS,MIDS
679,0.89645714,F1PP,h2o_c
680,2.0889688,F1PP,fru_c
681,0.4842389,F1PP,f1p_c
682,0.31760645,F1PP,pi_c
683,0.65319943,F1PP,h2o_c
684,1.0107284,F1PP,fru_c
685,0.19353363,F1PP,f1p_c
686,0.2460947,F1PP,pi_c
687,0.072680876,PFK,adp_c
688,0.061641134,PFK,atp_c
689,0.2710221,PFK,f6p_c
690,0.1219323,PFK,fdp_c
691,4.7419195,PFK,h_c
692,0.080040924,PFK,adp_c
693,0.06406432,PFK,atp_c
694,0.24129249,PFK,f6p_c
695,0.25102806,PFK,fdp_c
696,1.8914455,PFK,h_c
697,0.07651522,PLIPA1A180pp,ocdca_p
698,0.075475015,PLIPA1A180pp,pa180_p
699,1.4922705,PLIPA1A180pp,h2o_p
700,0.29517102,NTD9pp,pi_p
701,0.15024942,NTD9pp,gmp_p
702,0.14823635,NTD9pp,gsn_p
703,0.8963159,NTD9pp,h2o_p
704,0.2225369,NTD9pp,pi_p
705,0.121687815,NTD9pp,gmp_p
706,0.10925747,NTD9pp,gsn_p
707,0.1396916,NTD9pp,h2o_p
708,0.2557537,GAMptspp,gam6p_c
709,0.22998519,GAMptspp,pep_c
710,0.4279067,GAMptspp,gam_p
711,0.34424442,GAMptspp,pyr_c
712,0.41663536,GAMptspp,gam6p_c
713,0.41103584,GAMptspp,pep_c
714,0.7345018,GAMptspp,gam_p
715,1.5066444,GAMptspp,pyr_c
716,0.39762533,GAMptspp,gam6p_c
717,0.15658863,GAMptspp,pep_c
718,0.60394245,GAMptspp,gam_p
719,0.72086227,GAMptspp,pyr_c
720,0.0025740678,NNDMBRT,dmbzid_c
721,0.020669645,NNDMBRT,5prdmbz_c
722,0.13162206,NNDMBRT,nicrnt_c
723,0.051828384,NNDMBRT,nac_c
724,0.52674675,NNDMBRT,h_c
725,1.9135039,NADHHR,h2o_c
726,0.03405243,NADHHR,nadh_c
727,0.41082475,DHAPT,dhap_c
728,0.22484793,DHAPT,pep_c
729,0.43438715,DHAPT,pyr_c
730,0.19247557,DHAPT,dha_c
731,0.24125497,DHAPT,dhap_c
732,0.22998519,DHAPT,pep_c
733,0.34424442,DHAPT,pyr_c
734,0.32337636,DHAPT,dha_c
735,0.785492,DHAPT,dhap_c
736,0.41103584,DHAPT,pep_c
737,1.5066444,DHAPT,pyr_c
738,0.89899457,DHAPT,dha_c
739,0.20351198,DHAPT,dhap_c
740,0.16062495,DHAPT,pep_c
741,0.34065443,DHAPT,pyr_c
742,0.0705084,DHAPT,dha_c
743,0.045266036,Kabcpp,adp_c
744,0.0336437,Kabcpp,atp_c
745,0.5821058,Kabcpp,h2o_c
746,0.617958,Kabcpp,k_c
747,0.28316155,Kabcpp,pi_c
748,0.617958,Kabcpp,k_p
749,0.59003764,Kabcpp,h_c
750,0.19226153,LPLIPAL1A141pp,h_p
751,0.15861045,LPLIPAL1A141pp,h2o_p
752,0.24858019,LPLIPAL1A141pp,glyc3p_p
753,0.02787972,EAR120y,nadph_c
754,0.03933085,EAR120y,nadp_c
755,2.8962915,EAR120y,h_c
756,0.03906412,UDPGDC,nad_c
757,0.36179993,UDPGDC,co2_c
758,0.17869906,UDPGDC,udpglcur_c
759,0.06522157,UDPGDC,udpLa4o_c
760,0.02692334,UDPGDC,nadh_c
761,0.055097032,HACD5,3oddcoa_c
762,0.057120338,HACD5,3hddcoa_c
763,0.097988784,HACD5,nad_c
764,4.2309384,HACD5,h_c
765,0.053577058,HACD5,nadh_c
766,0.395858,3HAD80,h2o_c
767,1.2334889,3HAD80,h2o_c
768,0.07207154,AACPS2,atp_c
769,0.088175565,AACPS2,amp_c
770,0.12525271,AACPS2,ppi_c
771,0.32314238,MTAN,5mtr_c
772,0.6654904,MTAN,h2o_c
773,0.014722591,MTAN,5mta_c
774,0.030330842,MTAN,ade_c
775,0.08886782,G1PACT,coa_c
776,0.26854154,G1PACT,gam1p_c
777,0.121668994,G1PACT,accoa_c
778,0.4658645,G1PACT,h_c
779,0.038605288,ASAD,nadph_c
780,0.49410143,ASAD,aspsa_c
781,0.23127054,ASAD,4pasp_c
782,0.050408363,ASAD,nadp_c
783,0.47364497,ASAD,pi_c
784,3.8646138,ASAD,h_c
785,0.19226153,LPLIPAL1E180pp,h_p
786,0.047677908,LPLIPAL1E180pp,ocdca_p
787,0.024995076,LPLIPAL1E180pp,1agpe180_p
788,0.15861045,LPLIPAL1E180pp,h2o_p
789,0.22945446,LPLIPAL1E180pp,g3pe_p
790,0.018619977,3HBZCT,coa_c
791,2.795513,3HBZCT,h2o_c
792,0.94687116,GGGABAH,glu__L_c
793,2.8804424,GGGABAH,h2o_c
794,0.5429246,GGGABAH,4abut_c
795,0.25444245,GGGABAH,gg4abut_c
796,0.059613433,S2FE2SS,atp_c
797,1.4134406,S2FE2SS,h2o_c
798,1.5219637,S2FE2SS,fe2_c
799,1.529976,S2FE2SS,h_c
800,0.06549739,S2FE2SS,adp_c
801,0.03215529,S2FE2SS,fadh2_c
802,0.04659974,S2FE2SS,fad_c
803,0.5894723,S2FE2SS,pi_c
804,0.0316684,S2FE2SS,atp_c
805,2.121783,S2FE2SS,h2o_c
806,2.8274643,S2FE2SS,fe2_c
807,2.906615,S2FE2SS,h_c
808,0.032722346,S2FE2SS,adp_c
809,0.030579347,S2FE2SS,fadh2_c
810,0.037372444,S2FE2SS,fad_c
811,0.2773951,S2FE2SS,pi_c
812,0.34239033,ACMANAptspp,acmanap_c
813,0.22998519,ACMANAptspp,pep_c
814,0.34424442,ACMANAptspp,pyr_c
815,0.5272245,ACMANAptspp,acmana_p
816,0.44915047,ACMANAptspp,acmanap_c
817,0.41103584,ACMANAptspp,pep_c
818,1.5066444,ACMANAptspp,pyr_c
819,0.63161063,ACMANAptspp,acmana_p
820,0.20203987,ACMANAptspp,acmanap_c
821,0.15658863,ACMANAptspp,pep_c
822,0.72086227,ACMANAptspp,pyr_c
823,0.56819564,ACMANAptspp,acmana_p
824,0.017014734,G3PD2,nadph_c
825,0.2473868,G3PD2,dhap_c
826,0.2315865,G3PD2,glyc3p_c
827,0.03255434,G3PD2,nadp_c
828,0.9628379,G3PD2,h_c
829,1.8369856,RNDR4,h2o_c
830,0.29518053,RNDR4,udp_c
831,0.60953677,RNDR4,h2o_c
832,0.33980858,RNDR4,udp_c
833,1.6906295,RNDR4,h2o_c
834,0.33255696,RNDR4,udp_c
835,0.02289097,DHPPDA2,5apru_c
836,0.2926508,DHPPDA2,h2o_c
837,0.94537616,DHPPDA2,nh4_c
838,0.07509573,DHPPDA2,25drapp_c
839,0.2739263,DHPPDA2,h_c
840,0.0637205,MCITS,ppcoa_c
841,2.5776846,MCITS,h2o_c
842,0.14276554,MCITS,2mcit_c
843,0.053541277,MCITS,coa_c
844,0.16327855,MCITS,oaa_c
845,2.6891172,MCITS,h_c
846,0.06549739,S2FE2SR,adp_c
847,0.059613433,S2FE2SR,atp_c
848,1.4134406,S2FE2SR,h2o_c
849,0.5894723,S2FE2SR,pi_c
850,1.529976,S2FE2SR,h_c
851,0.032722346,S2FE2SR,adp_c
852,0.0316684,S2FE2SR,atp_c
853,2.121783,S2FE2SR,h2o_c
854,0.2773951,S2FE2SR,pi_c
855,2.906615,S2FE2SR,h_c
856,0.02787972,EAR161y,nadph_c
857,0.03933085,EAR161y,nadp_c
858,2.8962915,EAR161y,h_c
859,0.395858,3HAD140,h2o_c
860,1.2334889,3HAD140,h2o_c
861,1.4720187,PLIPA2G181pp,h_p
862,0.07939938,PLIPA2G181pp,ocdcea_p
863,0.06398065,PLIPA2G181pp,1agpg181_p
864,1.4922705,PLIPA2G181pp,h2o_p
865,0.020502409,AKGDH,coa_c
866,0.07215679,AKGDH,nad_c
867,0.02110688,AKGDH,succoa_c
868,0.14158277,AKGDH,akg_c
869,0.55578756,AKGDH,co2_c
870,0.02634238,AKGDH,nadh_c
871,0.021666933,AKGDH,coa_c
872,0.049745478,AKGDH,nad_c
873,0.023230845,AKGDH,succoa_c
874,0.084408626,AKGDH,akg_c
875,0.32884592,AKGDH,co2_c
876,0.056644466,AKGDH,nadh_c
877,1.4720187,PLIPA2A141pp,h_p
878,1.4922705,PLIPA2A141pp,h2o_p
879,0.023656486,SHK3Dr,nadph_c
880,0.3695214,SHK3Dr,skm_c
881,0.052070267,SHK3Dr,nadp_c
882,0.1666894,SHK3Dr,3dhsk_c
883,1.7302358,SHK3Dr,h_c
884,0.04378298,ACOAD1f,btcoa_c
885,0.029122354,ACOAD1f,fadh2_c
886,0.03458308,ACOAD1f,b2coa_c
887,0.05128899,ACOAD1f,fad_c
888,0.09976501,DDGLK,adp_c
889,0.09144603,DDGLK,atp_c
890,0.3791862,DDGLK,2ddg6p_c
891,0.7979877,DDGLK,h_c
892,0.29517102,PTHRpp,pi_p
893,0.35983747,PTHRpp,thr__L_p
894,0.8963159,PTHRpp,h2o_p
895,0.37225944,PTHRpp,thrp_p
896,0.2225369,PTHRpp,pi_p
897,0.40211844,PTHRpp,thr__L_p
898,0.1396916,PTHRpp,h2o_p
899,0.15941048,PTHRpp,thrp_p
900,0.855682,CPPPGO,h2o_c
901,0.053993475,CPPPGO,o2_c
902,0.024712507,CPPPGO,cpppg3_c
903,0.02986809,CPPPGO,pppg9_c
904,0.30465737,CPPPGO,co2_c
905,1.028715,CPPPGO,h_c
906,0.5365018,PMEACPE,h2o_c
907,1.003538,PMEACPE,meoh_c
908,0.13971,3OAS180,co2_c
909,0.25239566,3OAS180,h_c
910,0.5848023,3OAS180,co2_c
911,1.7360464,3OAS180,h_c
912,0.29517102,NTD11pp,pi_p
913,0.8963159,NTD11pp,h2o_p
914,0.0807817,NTD11pp,imp_p
915,0.09202091,NTD11pp,ins_p
916,0.030535638,OPMEACPR,nadph_c
917,0.043614704,OPMEACPR,nadp_c
918,1.9801781,OPMEACPR,h_c
919,0.46849787,DRPA,g3p_c
920,1.9856784,DRPA,acald_c
921,0.4668877,DRPA,2dr5p_c
922,0.07207154,2AGPGAT180,atp_c
923,0.088175565,2AGPGAT180,amp_c
924,0.024077808,2AGPGAT180,ocdca_c
925,0.12525271,2AGPGAT180,ppi_c
926,0.030535638,OGMEACPR,nadph_c
927,0.043614704,OGMEACPR,nadp_c
928,1.9801781,OGMEACPR,h_c
929,0.092113174,U23GAAT,u3hga_c
930,0.048614882,U23GAAT,u23ga_c
931,0.9810021,U23GAAT,h_c
932,0.030535638,3OAR100,nadph_c
933,0.043614704,3OAR100,nadp_c
934,1.9801781,3OAR100,h_c
935,2.1668797,ALAALAD,h2o_c
936,1.9529235,ALAALAD,ala__D_c
937,0.6768224,ALAALAD,alaala_c
938,0.036774237,NDPK1,adp_c
939,0.028196003,NDPK1,atp_c
940,0.08583281,NDPK1,gdp_c
941,0.079708196,NDPK1,gtp_c
942,0.29734772,FRUptspp,f1p_c
943,0.22998519,FRUptspp,pep_c
944,0.52277166,FRUptspp,fru_p
945,0.34424442,FRUptspp,pyr_c
946,0.32773304,FRUptspp,f1p_c
947,0.41103584,FRUptspp,pep_c
948,3.332577,FRUptspp,fru_p
949,1.5066444,FRUptspp,pyr_c
950,0.49305907,FRUptspp,f1p_c
951,0.19367465,FRUptspp,pep_c
952,1.112953,FRUptspp,fru_p
953,0.64458823,FRUptspp,pyr_c
954,0.34903494,FRUptspp,f1p_c
955,0.20745423,FRUptspp,pep_c
956,2.3272135,FRUptspp,fru_p
957,0.6543354,FRUptspp,pyr_c
958,0.16754006,PMANM,man6p_c
959,0.15517612,PMANM,man1p_c
960,0.04489702,PANTS,atp_c
961,0.054839794,PANTS,amp_c
962,0.19664398,PANTS,pant__R_c
963,0.06834615,PANTS,ala_B_c
964,0.22332883,PANTS,ppi_c
965,0.1480956,PANTS,pnto__R_c
966,0.5139908,PANTS,h_c
967,0.07939938,PLIPA1A181pp,ocdcea_p
968,1.4922705,PLIPA1A181pp,h2o_p
969,2.072499,PHYTSpp,inost_p
970,0.9271204,PHYTSpp,pi_p
971,1.9432323,PHYTSpp,h2o_p
972,0.40531936,PHYTSpp,minohp_p
973,0.11828497,NTD3pp,dcyt_p
974,0.29517102,NTD3pp,pi_p
975,0.124765374,NTD3pp,dcmp_p
976,0.8963159,NTD3pp,h2o_p
977,0.029122354,ACOAD4f,fadh2_c
978,0.042168934,ACOAD4f,dc2coa_c
979,0.05128899,ACOAD4f,fad_c
980,0.13971,3OAS161,co2_c
981,0.25239566,3OAS161,h_c
982,0.028126134,ALDD19xr,pac_c
983,0.06550962,ALDD19xr,nad_c
984,0.012928626,ALDD19xr,pacald_c
985,0.85725135,ALDD19xr,h2o_c
986,0.969517,ALDD19xr,h_c
987,0.033200692,ALDD19xr,nadh_c
988,0.533907,4PCPpp,h2o_p
989,0.9715066,4PCPpp,ala__D_p
990,0.40987644,MANGLYCptspp,manglyc_p
991,0.24301931,MANGLYCptspp,man6pglyc_c
992,0.22998519,MANGLYCptspp,pep_c
993,0.34424442,MANGLYCptspp,pyr_c
994,0.38495612,MANGLYCptspp,manglyc_p
995,0.2967403,MANGLYCptspp,man6pglyc_c
996,0.41103584,MANGLYCptspp,pep_c
997,1.5066444,MANGLYCptspp,pyr_c
998,0.49484986,MANGLYCptspp,manglyc_p
999,0.3930305,MANGLYCptspp,man6pglyc_c
1000,0.28275332,MANGLYCptspp,pep_c
1001,1.0808512,MANGLYCptspp,pyr_c
1002,1.1898447,2DGULRGy,glcn_c
1003,0.029064225,2DGULRGy,nadph_c
1004,0.044066194,2DGULRGy,nadp_c
1005,1.0857453,2DGULRGy,h_c
1006,0.50783104,TRPS3,g3p_c
1007,0.1510576,TRPS3,indole_c
1008,0.062408756,TRPS3,3ig3p_c
1009,0.22718605,TRPS3,g3p_c
1010,0.06286855,TRPS3,indole_c
1011,0.05647366,TRPS3,3ig3p_c
1012,0.20065798,PPNCL2,4ppan_c
1013,0.47384652,PPNCL2,cys__L_c
1014,0.32842696,PPNCL2,ctp_c
1015,0.11476549,PPNCL2,4ppcys_c
1016,0.18034454,PPNCL2,ppi_c
1017,0.27825463,PPNCL2,cmp_c
1018,1.9190615,PPNCL2,h_c
1019,0.01974242,GMPR,nadph_c
1020,1.8351794,GMPR,nh4_c
1021,0.053385895,GMPR,imp_c
1022,0.037384745,GMPR,nadp_c
1023,0.17505544,GMPR,gmp_c
1024,1.4168975,GMPR,h_c
1025,3.8161926,PROD3,pro__L_c
1026,1.6786989,PROD3,1pyr5c_c
1027,0.049032543,PROD3,q8_c
1028,0.07257584,PROD3,q8h2_c
1029,9.734822,PROD3,h_c
1030,1.9135039,NADHHS,h2o_c
1031,0.03405243,NADHHS,nadh_c
1032,0.017899293,SPMDAT1,coa_c
1033,0.031401835,SPMDAT1,accoa_c
1034,0.28252146,SPMDAT1,spmd_c
1035,0.18880777,SPMDAT1,N1aspmd_c
1036,1.1517092,SPMDAT1,h_c
1037,0.395858,3HAD40,h2o_c
1038,1.2334889,3HAD40,h2o_c
1039,0.06400742,GLYCLTDx,nad_c
1040,0.6084982,GLYCLTDx,glx_c
1041,0.6259393,GLYCLTDx,glyclt_c
1042,2.3886797,GLYCLTDx,h_c
1043,0.038458813,GLYCLTDx,nadh_c
1044,0.079680674,GLYCLTDx,nad_c
1045,0.8500002,GLYCLTDx,glx_c
1046,0.8721027,GLYCLTDx,glyclt_c
1047,1.0857453,GLYCLTDx,h_c
1048,0.052288458,GLYCLTDx,nadh_c
1049,3.9048827,HOPNTAL,acald_c
1050,0.78659385,HOPNTAL,pyr_c
1051,0.50242954,HOPNTAL,4h2opntn_c
1052,0.07207154,AACPS3,atp_c
1053,0.088175565,AACPS3,amp_c
1054,0.022550823,AACPS3,hdca_c
1055,0.12525271,AACPS3,ppi_c
1056,1.8369856,RNDR3,h2o_c
1057,0.07413733,RNDR3,dcdp_c
1058,0.29931602,RNDR3,cdp_c
1059,0.60953677,RNDR3,h2o_c
1060,0.06346598,RNDR3,dcdp_c
1061,0.31968254,RNDR3,cdp_c
1062,1.6906295,RNDR3,h2o_c
1063,0.101841405,RNDR3,dcdp_c
1064,0.32197037,RNDR3,cdp_c
1065,0.09482146,TRDR,nadph_c
1066,0.11081799,TRDR,nadp_c
1067,2.0475843,TRDR,h_c
1068,0.07207154,2AGPEAT161,atp_c
1069,0.088175565,2AGPEAT161,amp_c
1070,0.12525271,2AGPEAT161,ppi_c
1071,0.13971,3OAS141,co2_c
1072,0.25239566,3OAS141,h_c
1073,1.9421797,YUMPS,h2o_c
1074,0.7523602,YUMPS,r5p_c
1075,0.40035173,YUMPS,ura_c
1076,0.0076302043,DHDPRy,nadph_c
1077,0.096278876,DHDPRy,23dhdp_c
1078,0.037389446,DHDPRy,thdp_c
1079,0.014268272,DHDPRy,nadp_c
1080,1.5651133,DHDPRy,h_c
1081,0.037200276,DHNPTE,dhnpt_c
1082,0.013818066,FACOAE100,coa_c
1083,1.0371579,FACOAE100,h2o_c
1084,1.0262764,FACOAE100,h_c
1085,2.6397696,GLYOX3,h2o_c
1086,1.5150511,GLYOX3,lac__D_c
1087,2.5196164,GLYOX3,h_c
1088,4.1083913,GLYOX3,mthgxl_c
1089,1.2391515,XYHDL,h2o_c
1090,1.618811,XYHDL,glc__D_c
1091,1.416849,XYHDL,xyl__D_c
1092,0.22590865,ICL,succ_c
1093,0.56469107,ICL,icit_c
1094,0.47332662,ICL,glx_c
1095,0.13864757,PGMT,g6p_c
1096,0.14695787,PGMT,g1p_c
1097,0.5536475,PGMT,g6p_c
1098,0.49850467,PGMT,g1p_c
1099,0.22613662,PGMT,g6p_c
1100,0.24864501,PGMT,g1p_c
1101,1.7883866,HXCT,ac_c
1102,0.05166915,HXCT,accoa_c
1103,0.5505347,HXCT,hxa_c
1104,0.706243,APH160,h2o_c
1105,0.12193912,APH160,hdca_c
1106,0.6592721,APH160,pi_c
1107,0.83807296,APH160,h_c
1108,0.6339735,TDPGDH,h2o_c
1109,0.057281695,TDPGDH,dtdp4d6dg_c
1110,0.04495441,TDPGDH,dtdpglu_c
1111,0.58460075,TDPGDH,h2o_c
1112,0.054646987,TDPGDH,dtdp4d6dg_c
1113,0.03720153,TDPGDH,dtdpglu_c
1114,0.06448198,ACOXT,oxalcoa_c
1115,3.8288503,ACOXT,ac_c
1116,0.096875094,ACOXT,accoa_c
1117,0.68721557,ACOXT,oxa_c
1118,0.9081094,UACMAMO,h2o_c
1119,0.0958356,UACMAMO,nad_c
1120,0.4449449,UACMAMO,uacmamu_c
1121,0.34121105,UACMAMO,uacmam_c
1122,0.95393914,UACMAMO,h_c
1123,0.11800483,UACMAMO,nadh_c
1124,0.2658061,E4PP,h2o_c
1125,0.17707355,E4PP,e4p_c
1126,0.24191956,E4PP,pi_c
1127,0.6095539,E4PP,h2o_c
1128,0.2704859,E4PP,e4p_c
1129,0.2856184,E4PP,pi_c
1130,0.89645714,E4PP,h2o_c
1131,0.53724366,E4PP,e4p_c
1132,0.31760645,E4PP,pi_c
1133,1.7803493,E4PP,h2o_c
1134,0.5221614,E4PP,e4p_c
1135,0.6227352,E4PP,pi_c
1136,0.65319943,E4PP,h2o_c
1137,0.20652905,E4PP,e4p_c
1138,0.2460947,E4PP,pi_c
1139,0.05751746,SELNPS,atp_c
1140,0.45267037,SELNPS,h2o_c
1141,0.20947385,SELNPS,selnp_c
1142,0.07539143,SELNPS,amp_c
1143,0.48187274,SELNPS,seln_c
1144,0.3926933,SELNPS,pi_c
1145,0.6984678,MCTP2App,ala__D_p
1146,0.68102735,MCTP2App,ala__D_p
1147,0.476874,MCTP2App,ala__D_p
1148,0.88728094,MCTP2App,ala__D_p
1149,0.020128109,HPYRRy,nadph_c
1150,0.5653239,HPYRRy,hpyr_c
1151,0.042374004,HPYRRy,nadp_c
1152,0.6048004,HPYRRy,glyc__R_c
1153,2.3886797,HPYRRy,h_c
1154,0.029064225,HPYRRy,nadph_c
1155,0.61283225,HPYRRy,hpyr_c
1156,0.044066194,HPYRRy,nadp_c
1157,0.7965232,HPYRRy,glyc__R_c
1158,1.0857453,HPYRRy,h_c
1159,0.0407372,UM4PCP,ugmd_c
1160,1.9925832,UM4PCP,h2o_c
1161,1.2722074,UM4PCP,ala__D_c
1162,3.0620751,ECOAH4,h2o_c
1163,0.047147475,ECOAH4,dc2coa_c
1164,0.050018746,ECOAH4,3hdcoa_c
1165,0.2225369,G1PPpp,pi_p
1166,0.21799345,G1PPpp,g1p_p
1167,0.1396916,G1PPpp,h2o_p
1168,0.39313772,G1PPpp,glc__D_p
1169,0.6044653,G1PPpp,pi_p
1170,0.7111311,G1PPpp,g1p_p
1171,1.7520379,G1PPpp,h2o_p
1172,4.609418,G1PPpp,glc__D_p
1173,0.29517102,NTD6pp,pi_p
1174,0.0802606,NTD6pp,damp_p
1175,0.06934314,NTD6pp,dad_2_p
1176,0.8963159,NTD6pp,h2o_p
1177,0.05769274,EAR100x,nad_c
1178,2.8962915,EAR100x,h_c
1179,0.053822614,EAR100x,nadh_c
1180,7.0297217,MOHMT,h2o_c
1181,0.0677704,MOHMT,mlthf_c
1182,0.5954638,MOHMT,3mob_c
1183,0.43893978,MOHMT,2dhp_c
1184,0.042640343,NODOy,no_c
1185,0.01627376,NODOy,nadph_c
1186,0.05724286,NODOy,o2_c
1187,0.039923687,NODOy,nadp_c
1188,0.3899692,NODOy,h_c
1189,0.1177041,NODOy,no3_c
1190,1.4720187,PLIPA1G161pp,h_p
1191,1.4922705,PLIPA1G161pp,h2o_p
1192,0.6044653,GAL1PPpp,pi_p
1193,1.7520379,GAL1PPpp,h2o_p
1194,4.76538,GAL1PPpp,gal_p
1195,0.6452258,GAL1PPpp,gal1p_p
1196,0.19226153,LPLIPAL1G140pp,h_p
1197,0.13963133,LPLIPAL1G140pp,g3pg_p
1198,0.023005815,LPLIPAL1G140pp,1agpg140_p
1199,0.15861045,LPLIPAL1G140pp,h2o_p
1200,0.088885024,NTD8pp,dgsn_p
1201,0.29517102,NTD8pp,pi_p
1202,0.08496921,NTD8pp,dgmp_p
1203,0.8963159,NTD8pp,h2o_p
1204,1.3856896,OAADC,co2_c
1205,0.29075426,OAADC,oaa_c
1206,1.0271637,OAADC,pyr_c
1207,3.111216,OAADC,h_c
1208,0.13971,MACPD,co2_c
1209,0.25239566,MACPD,h_c
1210,1.4112473,PDX5PS,h2o_c
1211,0.06365397,PDX5PS,nad_c
1212,0.018629132,PDX5PS,pdx5p_c
1213,0.6912927,PDX5PS,co2_c
1214,0.19051756,PDX5PS,phthr_c
1215,0.52582914,PDX5PS,pi_c
1216,0.12957877,PDX5PS,dxyl5p_c
1217,1.5431571,PDX5PS,h_c
1218,0.051340327,PDX5PS,nadh_c
1219,0.6095539,GAPP,h2o_c
1220,0.27006164,GAPP,g3p_c
1221,0.5919388,GAPP,glyald_c
1222,0.2856184,GAPP,pi_c
1223,0.29517102,G2PPpp,pi_p
1224,0.8963159,G2PPpp,h2o_p
1225,1.7276019,G2PPpp,glyc_p
1226,0.23945315,G2PPpp,glyc2p_p
1227,0.2225369,G2PPpp,pi_p
1228,0.1396916,G2PPpp,h2o_p
1229,0.33807003,G2PPpp,glyc_p
1230,0.23451981,G2PPpp,glyc2p_p
1231,0.62153554,GLCRD,h2o_c
1232,0.101917356,GLCRD,5dh4dglc_c
1233,0.09676733,GLCRD,glcr_c
1234,1.4764398,GLCRD,h2o_c
1235,0.12515058,GLCRD,5dh4dglc_c
1236,0.119167246,GLCRD,glcr_c
1237,1.4481947,CAT,h2o_c
1238,3.0504663,CAT,h2o2_c
1239,0.114121616,CAT,o2_c
1240,5.6730056,CAT,h2o_c
1241,21.917114,CAT,h2o2_c
1242,0.066263355,CAT,o2_c
1243,0.07207154,2AGPGAT120,atp_c
1244,0.088175565,2AGPGAT120,amp_c
1245,0.12525271,2AGPGAT120,ppi_c
1246,2.5409064,ACODA,h2o_c
1247,0.97891706,ACODA,orn_c
1248,3.3170815,ACODA,ac_c
1249,1.0187218,ACODA,acorn_c
1250,0.06400742,HPYRRx,nad_c
1251,0.5653239,HPYRRx,hpyr_c
1252,0.6048004,HPYRRx,glyc__R_c
1253,2.3886797,HPYRRx,h_c
1254,0.038458813,HPYRRx,nadh_c
1255,0.079680674,HPYRRx,nad_c
1256,0.61283225,HPYRRx,hpyr_c
1257,0.7965232,HPYRRx,glyc__R_c
1258,1.0857453,HPYRRx,h_c
1259,0.052288458,HPYRRx,nadh_c
1260,0.81242555,PPC,h2o_c
1261,1.5591971,PPC,co2_c
1262,0.5895905,PPC,pep_c
1263,0.4906731,PPC,oaa_c
1264,0.5806549,PPC,pi_c
1265,0.95008934,PPC,h_c
1266,1.886814,ADNUC,h2o_c
1267,2.3092906,ADNUC,rib__D_c
1268,0.10335546,ADNUC,adn_c
1269,0.077168085,ADNUC,ade_c
1270,0.259259,GARFT,gar_c
1271,2.6708183,GARFT,h_c
1272,0.13586819,GARFT,fgam_c
1273,0.61472315,GTPCII2,h2o_c
1274,0.3541048,GTPCII2,for_c
1275,0.19670796,GTPCII2,ppi_c
1276,0.19303519,GTPCII2,25drapp_c
1277,0.5085979,GTPCII2,h_c
1278,0.25283545,GTPCII2,gtp_c
1279,0.8600984,P5CD,glu__L_c
1280,8.140344,P5CD,h2o_c
1281,0.37550452,P5CD,nad_c
1282,1.6786989,P5CD,1pyr5c_c
1283,9.734822,P5CD,h_c
1284,0.2261325,P5CD,nadh_c
1285,6.8497376,FCLPA,dhap_c
1286,11.455963,FCLPA,lald__L_c
1287,2.8171294,FCLPA,fc1p_c
1288,1.0598152,FCLPA,dhap_c
1289,1.844658,FCLPA,lald__L_c
1290,0.6752245,FCLPA,fc1p_c
1291,0.7510883,AGPR,acg5sa_c
1292,0.05470594,AGPR,nadph_c
1293,0.0822508,AGPR,nadp_c
1294,0.69572973,AGPR,pi_c
1295,2.1737094,AGPR,h_c
1296,0.49327996,AGPR,acg5p_c
1297,0.7086972,ADPRDP,h2o_c
1298,0.06675102,ADPRDP,amp_c
1299,0.46759456,ADPRDP,r5p_c
1300,0.12061332,ADPRDP,adprib_c
1301,0.5314529,ADPRDP,h_c
1302,0.05769274,EAR40x,nad_c
1303,2.8962915,EAR40x,h_c
1304,0.053822614,EAR40x,nadh_c
1305,0.027288323,ACACT6r,coa_c
1306,0.03635645,ACACT6r,ddcacoa_c
1307,0.034299627,ACACT6r,3otdcoa_c
1308,0.04231188,ACACT6r,accoa_c
1309,0.036492914,ACACT6r,coa_c
1310,0.042603794,ACACT6r,ddcacoa_c
1311,0.039805528,ACACT6r,3otdcoa_c
1312,0.0464266,ACACT6r,accoa_c
1313,0.4385558,ASP1DC,ala_B_c
1314,0.5251091,ASP1DC,co2_c
1315,1.1590477,ASP1DC,h_c
1316,0.27895364,ASP1DC,asp__L_c
1317,0.0029824465,CDGR,preq1_c
1318,0.012022728,CDGR,nadph_c
1319,0.0028925275,CDGR,preq0_c
1320,0.020378945,CDGR,nadp_c
1321,0.5697357,CDGR,h_c
1322,1.886814,CYTDH,h2o_c
1323,0.476242,CYTDH,csn_c
1324,2.3092906,CYTDH,rib__D_c
1325,0.52249485,CYTDH,cytd_c
1326,1.2656072,CYTDH,h2o_c
1327,0.59413546,CYTDH,csn_c
1328,3.4067264,CYTDH,rib__D_c
1329,0.7321399,CYTDH,cytd_c
1330,1.8789958,CYTDH,h2o_c
1331,0.61817324,CYTDH,csn_c
1332,4.549441,CYTDH,rib__D_c
1333,0.8537613,CYTDH,cytd_c
1334,0.018935021,DSERDHr,nadph_c
1335,0.026579633,DSERDHr,nadp_c
1336,1.2441882,DSERDHr,ser__D_c
1337,0.3805066,DSERDHr,2amsa_c
1338,2.220971,DSERDHr,h_c
1339,0.3436691,MDDCP4pp,h2o_p
1340,0.74561614,MDDCP4pp,ala__D_p
1341,0.9530668,MDDCP4pp,h2o_p
