,KM [mM],RIDS,MIDS
63,0.28174406,MLTG3,maltttr_c
64,0.17747495,MLTG3,maltpt_c
65,0.81203413,RMPA,dhap_c
66,1.9725376,RMPA,lald__L_c
67,0.5263954,RMPA,rml1p_c
68,0.029122354,ACOAD2f,fadh2_c
69,0.041952427,ACOAD2f,hx2coa_c
70,0.05128899,ACOAD2f,fad_c
71,1.00659,ACP1_FMN,h2o_c
72,0.03650072,ACP1_FMN,fmn_c
73,0.037937026,ACP1_FMN,ribflv_c
74,0.5620157,ACP1_FMN,pi_c
75,0.7461537,ACP1_FMN,h2o_c
76,0.027311,ACP1_FMN,fmn_c
77,0.030547082,ACP1_FMN,ribflv_c
78,0.33467293,ACP1_FMN,pi_c
79,0.96465683,ACP1_FMN,h2o_c
80,0.03195112,ACP1_FMN,fmn_c
81,0.028872548,ACP1_FMN,ribflv_c
82,0.45434228,ACP1_FMN,pi_c
83,0.29517102,NTD10pp,pi_p
84,0.14419875,NTD10pp,xtsn_p
85,0.8963159,NTD10pp,h2o_p
86,0.18973847,NTD10pp,xmp_p
87,0.66096985,HKNDDH,succ_c
88,1.5581608,HKNDDH,h2o_c
89,0.3326036,HKNDDH,hkndd_c
90,1.7220796,HKNDDH,h_c
91,0.70910937,HKNDDH,op4en_c
92,0.046323568,PAPSR,paps_c
93,1.037536,PAPSR,so3_c
94,0.042240664,PAPSR,pap_c
95,2.0475843,PAPSR,h_c
96,0.03770163,PAPSR,paps_c
97,0.5935692,PAPSR,so3_c
98,0.031811077,PAPSR,pap_c
99,0.51118505,PAPSR,h_c
100,1.9135039,NADPHHS,h2o_c
101,0.024736403,NADPHHS,nadph_c
102,0.06155372,UPP3MT,amet_c
103,0.018202199,UPP3MT,dscl_c
104,0.018225921,UPP3MT,uppg3_c
105,0.049415767,UPP3MT,ahcys_c
106,0.46398205,UPP3MT,h_c
107,1.2234612,SBTPD,f6p_c
108,0.1782881,SBTPD,nad_c
109,1.4985727,SBTPD,sbt6p_c
110,4.8188267,SBTPD,h_c
111,0.09799005,SBTPD,nadh_c
112,0.07207154,AACPS5,atp_c
113,0.088175565,AACPS5,amp_c
114,0.020722693,AACPS5,ocdcea_c
115,0.12525271,AACPS5,ppi_c
116,1.1545922,URDGLYCD,urdglyc_c
117,0.2478393,URDGLYCD,nad_c
118,1.2413316,URDGLYCD,oxur_c
119,14.82976,URDGLYCD,h_c
120,0.12840675,URDGLYCD,nadh_c
121,0.395858,3HAD161,h2o_c
122,1.2334889,3HAD161,h2o_c
123,1.4720187,PLIPA2E140pp,h_p
124,0.077598825,PLIPA2E140pp,1agpe140_p
125,1.4922705,PLIPA2E140pp,h2o_p
126,1.3612858,TYRL,dhgly_c
127,0.025122434,TYRL,nadph_c
128,0.03166731,TYRL,4crsol_c
129,0.28206474,TYRL,tyr__L_c
130,0.114251755,TYRL,amet_c
131,0.0400764,TYRL,nadp_c
132,1.199061,TYRL,met__L_c
133,6.433235,TYRL,h_c
134,0.084777564,TYRL,dad_5_c
135,0.14755015,DHCINDO,o2_c
136,0.087060854,DHCINDO,hkntd_c
137,0.048392452,DHCINDO,dhcinnm_c
138,1.0440576,DHCINDO,h_c
139,0.041405853,CD2abcpp,adp_c
140,0.05141346,CD2abcpp,atp_c
141,0.29169357,CD2abcpp,h2o_c
142,0.1928813,CD2abcpp,cd2_c
143,0.1928813,CD2abcpp,cd2_p
144,0.14226595,CD2abcpp,pi_c
145,0.19527107,CD2abcpp,h_c
146,0.13566305,PERD,4per_c
147,0.06286171,PERD,nad_c
148,0.11854259,PERD,ohpb_c
149,2.0540924,PERD,h_c
150,0.048775733,PERD,nadh_c
151,0.43731874,MNLptspp,mnl1p_c
152,0.113544494,MNLptspp,pep_c
153,1.1036204,MNLptspp,mnl_p
154,0.4272154,MNLptspp,pyr_c
155,0.48399282,MNLptspp,mnl1p_c
156,0.22998519,MNLptspp,pep_c
157,0.7756106,MNLptspp,mnl_p
158,0.34424442,MNLptspp,pyr_c
159,0.40596604,MNLptspp,mnl1p_c
160,0.3117533,MNLptspp,pep_c
161,1.6124538,MNLptspp,mnl_p
162,0.88362825,MNLptspp,pyr_c
163,0.38867933,MNLptspp,mnl1p_c
164,0.41103584,MNLptspp,pep_c
165,2.1420865,MNLptspp,mnl_p
166,1.5066444,MNLptspp,pyr_c
167,0.37350416,MNLptspp,mnl1p_c
168,0.17370524,MNLptspp,pep_c
169,1.533653,MNLptspp,mnl_p
170,0.6469466,MNLptspp,pyr_c
171,0.19873382,MNLptspp,mnl1p_c
172,0.21855098,MNLptspp,pep_c
173,2.0435681,MNLptspp,mnl_p
174,0.6733922,MNLptspp,pyr_c
175,0.5731629,MNLptspp,mnl1p_c
176,0.27621973,MNLptspp,pep_c
177,3.5686023,MNLptspp,mnl_p
178,1.6313578,MNLptspp,pyr_c
179,1.4922705,PLIPA1A141pp,h2o_p
180,0.030535638,3OAR120,nadph_c
181,0.043614704,3OAR120,nadp_c
182,1.9801781,3OAR120,h_c
183,0.059068102,GAPD,nad_c
184,0.1982909,GAPD,g3p_c
185,0.12489743,GAPD,13dpg_c
186,0.48716834,GAPD,pi_c
187,2.1304176,GAPD,h_c
188,0.03405243,GAPD,nadh_c
189,0.27889356,FBA3,dhap_c
190,0.23653474,FBA3,e4p_c
191,0.21661128,FBA3,s17bp_c
192,0.021355582,TDPDRR,nadph_c
193,0.07981742,TDPDRR,dtdp4d6dm_c
194,0.03881447,TDPDRR,nadp_c
195,0.91340345,TDPDRR,h_c
196,0.12885164,TDPDRR,dtdprmn_c
197,1.2411792,AB6PGH,h2o_c
198,0.04680228,AB6PGH,hqn_c
199,0.14555228,AB6PGH,arbt6p_c
200,0.98536706,AB6PGH,g6p_c
201,1.256757,AB6PGH,h2o_c
202,0.049160663,AB6PGH,hqn_c
203,0.17886715,AB6PGH,arbt6p_c
204,1.2194632,AB6PGH,g6p_c
205,1.1453673,AB6PGH,h2o_c
206,0.053609025,AB6PGH,hqn_c
207,0.15657826,AB6PGH,arbt6p_c
208,1.2036736,AB6PGH,g6p_c
209,4.319216,TARTD,h2o_c
210,0.19011654,TARTD,tartr__L_c
211,0.40988907,TARTD,oaa_c
212,0.3155077,DURIPP,2dr1p_c
213,0.20450006,DURIPP,duri_c
214,0.23716083,DURIPP,ura_c
215,0.2795807,DURIPP,pi_c
216,0.395858,3HAD181,h2o_c
217,1.2334889,3HAD181,h2o_c
218,0.94920546,NNAM,h2o_c
219,2.3346372,NNAM,nh4_c
220,0.03398033,NNAM,ncam_c
221,0.06997577,NNAM,nac_c
222,0.9873749,MLDCP2Bpp,h2o_p
223,1.0373381,MLDCP2Bpp,ala__D_p
